Date,Time,AMPM,size,Filename,SensorHt,SourceHt,DistanceFeet,Test,Skip
11/1/2016,916,AM,"1,040,744",STR2016-11-01-[0916].CSV,2.5,0.1,25,1,0
11/1/2016,938,AM,"972,583",STR2016-11-01-[0938].CSV,2.5,0.1,25,1,0
11/1/2016,1025,AM,"1,221,745",STR2016-11-01-[1025].CSV,2.5,0.1,27,4,0
11/1/2016,1045,AM,"617,167",STR2016-11-01-[1045].CSV,2.5,0.1,27,4,0
11/1/2016,1056,AM,"755,530",STR2016-11-01-[1056].CSV,2.5,0.1,27,4,0
11/1/2016,1221,AM,"1,196,273",STR2016-11-01-[1221].CSV,2.5,0.1,25,3,0
11/1/2016,1450,PM,"626,897",STR2016-11-01-[1450].CSV,2.5,0.1,34,6,0
11/1/2016,1539,PM,"630,946",STR2016-11-01-[1539].CSV,2.5,0.1,34,8,0
11/2/2016,841,AM,"802,142",STR2016-11-02-[0841].CSV,2.5,0.1,87.5,7,0
11/2/2016,957,AM,"962,388",STR2016-11-02-[0957].CSV,2.5,0.1,180,9,0
11/2/2016,1013,AM,"739,995",STR2016-11-02-[1013].CSV,2.5,0.1,106,9,0
11/2/2016,1039,AM,"1,223,840",STR2016-11-02-[1039].CSV,2.5,0.1,106,9,0
11/2/2016,1150,AM,"1,035,482",STR2016-11-02-[1150].CSV,2.5,0.1,125,10,0
11/2/2016,1207,AM,"845,868",STR2016-11-02-[1207].CSV,2.5,0.1,98,10,0
11/2/2016,1222,AM,"1,390,507",STR2016-11-02-[1222].CSV,2.5,0.1,54,10,0
11/2/2016,1247,AM,"773,565",STR2016-11-02-[1247].CSV,2.5,0.1,54.5,10,0
11/2/2016,1309,PM,"609,371",STR2016-11-02-[1309].CSV,2.5,0.1,106,9,0
11/2/2016,1424,PM,"603,206",STR2016-11-02-[1424].CSV,2.5,0.1,110,12,0
11/2/2016,1443,PM,"309,704",STR2016-11-02-[1443].CSV,2.5,0.1,87.5,12,0
11/2/2016,1459,PM,"1,641,940",STR2016-11-02-[1459].CSV,2.5,0.1,50,19,0
11/2/2016,1525,PM,"225,847",STR2016-11-02-[1525].CSV,2.5,0.1,50,19,0
11/2/2016,1543,PM,"655,740",STR2016-11-02-[1543].CSV,2.5,0.1,24,20,0
11/2/2016,1556,PM,"664,496",STR2016-11-02-[1556].CSV,0.9144,0.1,24,20,0
11/2/2016,1715,PM,"644,819",STR2016-11-02-[1715].CSV,0.9144,0.1,60,11,0
11/2/2016,1740,PM,"1,003,931",STR2016-11-02-[1740].CSV,0.9144,0.1,40,14,0
11/2/2016,1756,PM,"627,268",STR2016-11-02-[1756].CSV,0.9144,0.1,40,14,0
11/3/2016,833,AM,"1,070,607",STR2016-11-03-[0833].CSV,0.9144,0.1,64,13,0
11/3/2016,859,AM,"880,404",STR2016-11-03-[0859].CSV,0.9144,0.1,106,13,0
11/3/2016,916,AM,"479,543",STR2016-11-03-[0916].CSV,0.9144,0.1,106,13,0
11/3/2016,1015,AM,"632,055",STR2016-11-03-[1015].CSV,0.9144,0.1,10,15,10
11/3/2016,1026,AM,"649,488",STR2016-11-03-[1026].CSV,0.9144,0.1,40,15,0
11/3/2016,1038,AM,"642,536",STR2016-11-03-[1038].CSV,0.9144,0.1,113,15,0
11/3/2016,1101,AM,"1,028,774",STR2016-11-03-[1101].CSV,0.9144,0.1,12,16,0
11/3/2016,1119,AM,"921,138",STR2016-11-03-[1119].CSV,0.9144,0.1,62,16,0
11/3/2016,1236,AM,"370,382",STR2016-11-03-[1236].CSV,0.9144,0.1,6,17,0
11/3/2016,1243,AM,"327,062",STR2016-11-03-[1243].CSV,0.9144,0.1,28,17,0
11/3/2016,1249,PM,"955,108",STR2016-11-03-[1249].CSV,0.9144,0.1,28,17,0
11/3/2016,1327,PM,"709,149",STR2016-11-03-[1327].CSV,0.9144,0.1,37,14,0
11/3/2016,1341,PM,"1,105,177",STR2016-11-03-[1341].CSV,0.9144,0.1,60,14,0
11/3/2016,1428,PM,"1,264,835",STR2016-11-03-[1428].CSV,0.9144,0.1,120,18,0
11/3/2016,1448,PM,"938,303",STR2016-11-03-[1448].CSV,0.9144,0.1,120,18,0
11/3/2016,1620,PM,"456,446",STR2016-11-03-[1620].CSV,0.9144,0.1,30,2,0
